product_id,description,detail
BC32A57TRPP001U8NHHG,link_painel,Link de Pagto via Painel Guest (Mobile)
BC32A7RU643001OI393G,link_painel,Link de Pagto via Painel Registrado (Mobile)
BC32A4RU643001OI3930,link_painel,Link de Pagto via Painel Guest (Web)
lBC32A7VTRPP001U8NHI0,ink_painel,Link de Pagto via Painel Registrado (Web)
bgpq8u6h3ou001nr2hvg,link_painel
bgpq97bfp71g01lfueu0,link_painel
bgpq8bmh3ou001nr2hv0,link_painel
bqtvv5sdtg7g01imcubg,link_painel
bqtvvtkbfocg01h0f340,link_painel
beh9099at85g01m2j78g,link_painel
BDVFHL92LE1G01LPJQGG,185645
BCKJNUFHAU10018OVCDG,42619
BMSRA0I2UUE001GF5C1G,5786
BE4PVNH2LE1G01LPJQK0,185
BK9TMI410T3G01IB4220,627515
BCKJO2VHAU10018OVCEG,252091
BJDGPC7BF6RG01IIIOS0,99263
BPLPJ8L71NOG01JOPH4G,69573
BJSLT0FBF6RG01IIIOV0,34926
BF3L8CVP2P4001H0L23G,25
BCKJO32BVKH001FP9VA0,405428
BJSLSC5MG2N001KTKN7G,7701
BCKJNUIBVKH001FP9V90,20666
BE060SP2LE1G01LPJQJ0,8461420
BGPQ8U6H3OU001NR2HVG,98114
BE4PVFH6BVMG01FHR3N0,26
BDVDDS16BVMG01FHR3K0,104848
BK9TN0C10T3G01IB422G,93177
BDVDCP96BVMG01FHR3J0,3490363
BC32A4NTRPP001U8NHG0,33276
BF3L7UVP2P4001H0L20G,3932
BF3L8CVP2P4001H0L230,11925
BDPE65L0FCR001F9529G,8
BC32A1FTRPP001U8NHFG,6
BECKRF2K980G01L3BDC0,98321
BK4I78CO473G01HUKM10,2
BGPQ97BFP71G01LFUEU0,15352
BEUCGATJ43U001KAKQKG,8
BGPQ8BMH3OU001NR2HV0,31
BCKJO2VHAU10018OVCE0,15891606
BJDCUUVBF6RG01IIIOR0,5880318
BCKJOIFHAU10018OVCGG,21
BP7U2IM82TQG01KHI88G,171593
BD72JF50FCR001F9527G,548
BF3L8CNP2P4001H0L22G,237
BMA9P97VDT6001KQFV9G,34639
BK9OV5410T3G01IB421G,1820060
BH3215F10FLG01NMHG6G,1940
BJDCVRTMG2N001KTKN6G,823640
BDVFIV16BVMG01FHR3LG,77
BF3L8C7P2P4001H0L220,2310471
BCKJNUIBVKH001FP9V9G,13671235
BMSVGJB791OG01GVDGU0,268317
BF3L8D7P2P4001H0L240,11
BH31U3V10FLG01NMHG5G,425993
BE6JEUUBU7L001CDUF0G,6900177
BEHA95IK980G01L3BDCG,47689064
BI0LBLDMG2N001KTKN5G,1592
BEVP8TU8QCDG01NJH370,2087
BC32A4JU643001OI391G,23714
BOG81DU0A3M001J8OJQG,3498
BMA9RH7VDT6001KQFVBG,7403
BCKJNP2BVKH001FP9V8G,1111202
BH321ATMIU3001HKEBMG,19590
BDVFHRP2LE1G01LPJQH0,821924
BOG819QIC4P001KBGPU0,81983
BCKJNP7HAU10018OVCD0,2506171
BDVDD296BVMG01FHR3JG,1181285
BH90N5TMG2N001KTKN40,1264
BF3L7UNP2P4001H0L200,1080721
BJDGPNVBF6RG01IIIOT0,100585
BEVP8MU8QCDG01NJH36G,21806
BH31UMV10FLG01NMHG60,2425064
BCKJO7VHAU10018OVCF0,2502
BP7U1L682TQG01KHI880,23512
BDVFIO92LE1G01LPJQHG,179
BEL8EMHHC1Q001MN3G50,8790
BE060HH2LE1G01LPJQIG,1776147
BDVDDFP2LE1G01LPJQEG,382192
BFRFF6JDNCEG02A7IS1G,63260
BJEO9TFBF6RG01IIIOU0,3
BCKHQBQBVKH001FP9V50,5120
BMA9Q8NVDT6001KQFVAG,746
BMA9OR7VDT6001KQFV90,4074
BOG81U60A3M001J8OJRG,14
BD72KDPQIJ2G01BAK93G,266639
BCKJOCIBVKH001FP9VBG,47694
BMA9PUFVDT6001KQFVA0,92
BC329V3U643001OI3910,1
BMA9ROHF1U3G01H7POEG,45839