Data inicio,Cust_id,Produto,Application,1 Request - Sand,1 Request - Prod,Go-live
18/10/2019,313804261,Link,S,,,
04/06/2019,181247065,Link,S,,,
20/02/2020,262217676,Link,S,,,
13/12/2019,473887956,Link,S,,,
19/12/2019,487499683,Link,S,,,
19/12/2019,488352506,Link,N,,,
19/12/2019,488353385,Link,N,,,
19/12/2019,488362448,Link,,,,
19/12/2019,488359104,Link,,,,
19/12/2019,488361162,Link,,,,
19/12/2019,488370026,Link,,,,
19/12/2019,488373038,Link,,,,
19/12/2019,488419129,Link,,,,
19/12/2019,488660768,Link,,,,
19/12/2019,488827068,Link,,,,
19/12/2019,488828672,Link,,,,
08/01/2020,511675144,Link,,,,
08/01/2020,506822722,Link,,,,
09/01/2020,511486136,Link,,,,
14/01/2020,486814494,Link,,,,
16/01/2020,513645591,Link,,,,
20/01/2020,477938447,Link,,,,
21/01/2020,130642037,Link,,,,
23/01/2020,106186702,Link,,,,
28/01/2020,7977419,Link,,,,
26/01/2020,322521691,Link,,,,
28/01/2020,480429877,Link,,,,
29/01/2020,519259392,Link,,,,
29/01/2020,518325270,Link,,,,
30/01/2020,475921279,Link,,,,
03/02/2020,348498096,Link,,,,
04/02/2020,522575244,Link,,,,
05/02/2020,519774884,Link,,,,
05/02/2020,522147874,Link,,,,
05/02/2020,512130966,Link,,,,
10/02/2020,523090052,Link,,,,
11/02/2020,524010106,Link,,,,
12/02/2020,468381692,Link,,,,
14/02/2020,511861686,Link,,,,
14/02/2020,522841408,Link,,,,
18/02/2020,527042093,Link,,,,
19/02/2020,528376629,Link,,,,
20/02/2020,527004101,Link,,,,
20/02/2020,528754189,Link,,,,
26/02/2020,530629541,Link,,,,
26/02/2020,530665857,Link,,,,
11/02/2020,452190782,Link,,,,
28/02/2020,528741043,Link,,,,
02/03/2020,488831139,Link,,,,
09/03/2020,150399065,Link,,,,
09/03/2020,158906488,Link,,,,
10/03/2020,361796630,Link,,,,
10/03/2020,532674175,Link,,,,
10/03/2020,502864513,Link,,,,
12/03/2020,354646116,Link,,,,
17/03/2020,537001286,Link,,,,
20/03/2020,537987232,Link,,,,
26/03/2020,538644297,Link,,,,
29/03/2020,540398948,Link,,,,
30/03/2020,539207872,Link,,,,
31/03/2020,491519501,Link,,,,
06/04/2020,537324481,Link,,,,
07/04/2020,312911112,Link,,,,
13/04/2020,545610010,Link,,,,
16/04/2020,537009138,Link,,,,
16/04/2020,547479822,Link,,,,
16/04/2020,49196978,Link,,,,
17/04/2020,547879671,Link,,,,
22/04/2020,539516864,Link,,,,
29/04/2020,549140953,Link,,,,
07/05/2020,539419161,Link,,,,
13/05/2020,565601367,Link,,,,
13/05/2020,567719253,Link,,,,
15/05/2020,443129026,Link,,,,
18/05/2020,554349245,Link,,,,
19/05/2020,470781992,Link,,,,
19/05/2020,568813846,Link,,,,
20/05/2020,489150060,Link,,,,
22/05/2020,571741242,Link,,,,
26/05/2020,570527177,Link,,,,
26/05/2020,571632413,Link,,,,
28/05/2020,245644766,Link,,,,
03/06/2020,578402258,Link,,,,
05/06/2020,564672040,Link,,,,
10/06/2020,547760889,Link,,,,
10/06/2020,548051103,Link,,,,
25/06/2020,564338275,Link,,,,
29/06/2020,589452161,Link,,,,
30/06/2020,558553305,Link,,,,
01/07/2020,599379705,Link,,,,
03/07/2020,426971713,Link,,,,
03/07/2020,575140349,Link,,,,
03/07/2020,592777109,Link,,,,
08/07/2020,594217356,Link,,,,
09/07/2020,600848318,Link,,,,
13/07/2020,506181047,Link,,,,
14/07/2020,609528930,Link,,,,
15/07/2020,605900161,Link,,,,
15/07/2020,603306820,Link,,,,
16/07/2020,541321282,Link,,,,
20/07/2020,525770163,Link,,,,
24/07/2020,611330706,Link,,,,
27/07/2020,615260991,Link,,,,
28/07/2020,522396710,Link,,,,
28/07/2020,581435881,Link,,,,
28/07/2020,599432286,Link,,,,
29/07/2020,419223981,Link,,,,
30/07/2020,614176302,Link,,,,
03/08/2020,600141970,Link,,,,
03/08/2020,471531885,Link,,,,
06/08/2020,255107189,Link,,,,
07/08/2020,530665857,Link,,,,
13/08/2020,616677268,Link,,,,
17/08/2020,599280749,Link,,,,
19/08/2020,344025588,Link,,,,
19/08/2020,255107189,Link,,,,
20/08/2020,565397669,Link,,,,
20/08/2020,627733869,Link,,,,
25/08/2020,623710654,Link,,,,
25/08/2020,584020193,Link,,,,
26/08/2020,355866979,Link,,,,
26/08/2020,625419847,Link,,,,
27/08/2020,632170300,Link,,,,
31/08/2020,319081947,Link,,,,
31/08/2020,630966668,Link,,,,
31/08/2020,606712377,Link,,,,
01/09/2020,636933916,Link,,,,
03/09/2020,628536083,Link,,,,
03/09/2020,632376421,Link,,,,
04/09/2020,637297864,Link,,,,
08/09/2020,231329129,Link,,,,
08/09/2020,632374840,Link,,,,
08/09/2020,323516165,Link,,,,
08/09/2020,632371434,Link,,,,
08/09/2020,610263928,Link,,,,
08/09/2020,631520752,Link,,,,